Possible_name	Real_name
Mainland China	China
Bahamas, The	Bahamas
Cabo Verde	Cape Verde
Burma	Myanmar
Congo (Brazzaville)	Republic of Congo
Congo (Kinshasa)	Democratic Republic of the Congo
Cote d'Ivoire	Côte d'Ivoire
Cruise Ship	Delete
Curacao	Curaçao
Czechia	Czech Republic
Diamond Princess	Delete
East Timor	Timor-Leste
Eswatini	Swaziland
Gambia, The	Gambia
Holy See	Vatican City
Hong Kong SAR	Hong Kong
Iran (Islamic Republic of)	Iran
Ivory Coast	Côte d'Ivoire
Korea, South	South Korea
Kosovo	Kosovo
Macao SAR	Macao
Macau	Macao
Mainland China	China
MS Zaandam	Delete
North Ireland	Delete
North Macedonia	Macedonia
occupied Palestinian territory	Palestina
Others	Delete
Palestine	Palestina
Republic of Ireland	Ireland
Republic of Korea	South Korea
Republic of Moldova	Moldova
Republic of the Congo	Republic of Congo
Russian Federation	Russia
Saint Barthelemy	Saint-Barthélemy
Saint Martin	Saint-Martin
Sao Tome and Principe	São Tomé and Príncipe
South Sudan	South Sudan
St. Martin	Saint-Martin
Taipei and environs	Taiwan
Taiwan*	Taiwan
The Bahamas	Bahamas
The Gambia	Gambia
UK	United Kingdom
US	United States
Viet Nam	Vietnam
West Bank and Gaza	Palestina 
From Diamond Princess	Delete
Port Quarantine	Delete
External territories	Delete
Repatriated Travellers	Delete
Recovered	Delete
Grand Princess	Delete
Grand Princess Cruise Ship	Delete
Unassigned Location (From Diamond Princess)	Delete
Wuhan Evacuee	Delete
Dadar Nagar Haveli	Delete
Andaman and Nicobar Islands	Andaman and Nicobar
Delhi	NCT of Delhi
Ladakh	Jammu and Kashmir
Palestina 	Palestina
Summer Olympics 2020	Delete
Winter Olympics 2022	Delete
Anctartida	Delete
